30000,1,3768914,100,1234,181,158,60333.333333333336,480.2444417675755
100000,1,12588914,52,834,575,544,57500.0,456.75107479485524
# 300000,1,37988914,17,2728,1831,1688,61033.333333333336,481.9827173790754
# 1000000,1,126888914,6,6263,5541,5363,55410.0,436.68117452719315
30000,3,3828914,100,277,156,147,17333.333333333332,407.4262310409688
100000,3,12788914,57,610,532,501,17733.333333333332,415.98528225305137
300000,3,38588914,17,2467,1770,1582,19666.666666666668,458.6809569193888
1000000,3,128888914,6,5711,5445,5402,18150.0,422.45681424548275
30000,10,4038914,100,397,170,152,5666.666666666667,420.9052235328606
100000,10,13488914,52,973,556,514,5560.0,412.19033644962076
# 300000,10,40688914,17,1945,1768,1614,5893.333333333333,434.51638940277445
# 1000000,10,135888914,6,6266,5616,5532,5616.0,413.27874619705915

30000,30,4638914,100,504,176,162,1955.5555555555557,379.3991438513411
100000,30,15488914,50,719,597,549,1990.0,385.43696478655636
# 300000,30,46688914,17,2630,1714,1670,1904.4444444444443,367.110702125134
30000,100,6738914,100,391,212,194,706.6666666666666,314.59074859836466
100000,100,22488914,44,819,684,654,684.0,304.1498580144866
# 300000,100,67688914,15,2122,2046,2004,682.0,302.2651537886987
30000,300,12738914,99,344,300,285,333.3333333333333,235.4988816158112
100000,300,42488914,30,1111,989,966,329.6666666666667,232.7665988356398
# 300000,300,127688914,10,3374,2962,2916,329.1111111111111,231.97002051407532

1000,1000,1122914,100,58,22,19,220.0,195.9188326087305
30000,1000,33738914,42,1734,658,620,219.33333333333334,195.02702428418414
# 100000,1000,112488914,13,2647,2358,2128,235.8,209.62065648531373
30,30000,903674,100,22,14,13,155.55555555555554,154.92312493222113
100,30000,3012214,100,70,46,42,153.33333333333334,152.71159353219923
300,30000,9036814,100,256,140,132,155.55555555555554,154.92185630909302
1000,30000,30122914,59,812,492,453,164.0,163.33081188626042
10,100000,1001234,100,91,18,14,180.0,179.7781537582623
30,100000,3003674,100,183,46,42,153.33333333333334,153.14578080044637
100,100000,10012214,100,635,156,146,156.0,155.8096940396999
300,100000,30036814,64,554,461,447,153.66666666666666,153.47832829407272
# 1000,100000,100122914,19,1734,1607,1506,160.7,160.50271968712377
3,300000,900387,100,16,13,12,144.44444444444446,144.3823600296317
10,300000,3001234,100,64,45,43,150.0,149.9383253688316
30,300000,9003674,100,179,137,127,152.22222222222223,152.16010708517433
100,300000,30012214,65,621,452,432,150.66666666666666,150.60535020841849
300,300000,90036814,21,1708,1438,1311,159.77777777777777,159.7124482880969
1,1000000,1000145,100,21,15,13,150.0,149.97825315329277
3,1000000,3000387,100,73,46,42,153.33333333333334,153.3135558846242
10,1000000,10001234,100,201,157,145,157.0,156.98062859043193
30,1000000,30003674,64,630,466,441,155.33333333333334,155.31431250719496
100,1000000,100012214,20,1709,1582,1475,158.2,158.1806798117678
